,Name,PD Notation,Volume,Crossing Number,Determinant,n_crossings,n_faces,writhe,is_alternating,n_edges,n_nodes,average_degree,std_degrees,density
59,9^2_31,[[15; 0; 16; 1]; [1; 9; 2; 8]; [17; 3; 14; 2]; [3; 10; 4; 11]; [11; 4; 12; 5]; [5; 12; 6; 13]; [13; 6; 0; 7]; [7; 15; 8; 14]; [9; 16; 10; 17]],10.21560567,9,31,9,11,-3,True,18,11,3.272727272727273,1.3545149477955765,0.32727272727272727
60,9^2_32,[[0; 16; 1; 15]; [8; 2; 9; 1]; [2; 17; 3; 14]; [10; 3; 11; 4]; [4; 13; 5; 0]; [12; 5; 13; 6]; [6; 11; 7; 12]; [16; 7; 17; 8]; [14; 10; 15; 9]],12.45720798,9,31,9,11,-3,True,18,11,3.272727272727273,0.8624393618641034,0.32727272727272727
61,9^2_33,[[0; 16; 1; 15]; [10; 1; 11; 2]; [2; 17; 3; 14]; [8; 4; 9; 3]; [4; 8; 5; 7]; [12; 6; 13; 5]; [6; 0; 7; 13]; [14; 9; 15; 10]; [16; 12; 17; 11]],12.63122323,9,31,9,11,3,True,18,11,3.272727272727273,0.9620913858416692,0.32727272727272727
62,9^2_34,[[5; 1; 6; 0]; [1; 7; 2; 6]; [13; 3; 14; 2]; [3; 10; 4; 11]; [15; 4; 16; 5]; [7; 16; 8; 17]; [17; 8; 12; 9]; [9; 12; 10; 13]; [11; 15; 0; 14]],11.94287245,9,31,9,11,-1,True,18,11,3.272727272727273,1.052348809344566,0.32727272727272727
63,9^2_35,[[0; 14; 1; 13]; [6; 1; 7; 2]; [2; 7; 3; 8]; [16; 4; 17; 3]; [4; 10; 5; 9]; [12; 5; 13; 6]; [8; 17; 9; 12]; [10; 16; 11; 15]; [14; 0; 15; 11]],11.37352243,9,31,9,11,1,True,18,11,3.272727272727273,1.2128785512842122,0.32727272727272727
64,9^2_36,[[15; 0; 16; 1]; [1; 8; 2; 9]; [9; 2; 10; 3]; [3; 14; 4; 15]; [13; 5; 0; 4]; [5; 13; 6; 12]; [11; 7; 12; 6]; [7; 17; 8; 16]; [17; 11; 14; 10]],11.47162836,9,31,9,11,1,True,18,11,3.272727272727273,1.0523488093445659,0.32727272727272727
65,9^2_37,[[0; 16; 1; 15]; [8; 2; 9; 1]; [2; 10; 3; 9]; [14; 4; 15; 3]; [4; 11; 5; 12]; [12; 5; 13; 6]; [6; 13; 7; 0]; [16; 7; 17; 8]; [10; 17; 11; 14]],11.47162836,9,31,9,11,-1,True,18,11,3.272727272727273,1.052348809344566,0.32727272727272727
66,9^2_38,[[15; 0; 16; 1]; [1; 10; 2; 11]; [9; 2; 10; 3]; [3; 16; 4; 17]; [7; 5; 8; 4]; [5; 13; 6; 12]; [13; 7; 0; 6]; [17; 8; 14; 9]; [11; 14; 12; 15]],13.04040137,9,31,9,11,-3,True,18,11,3.272727272727273,0.7496555682941201,0.32727272727272727
67,9^2_39,[[0; 13; 1; 14]; [6; 2; 7; 1]; [2; 8; 3; 7]; [14; 3; 15; 4]; [4; 17; 5; 12]; [10; 6; 11; 5]; [8; 16; 9; 15]; [16; 10; 17; 9]; [12; 11; 13; 0]],12.53617026,9,31,9,11,1,True,18,11,3.272727272727273,0.9620913858416693,0.32727272727272727
68,9^2_40,[[0; 14; 1; 13]; [6; 2; 7; 1]; [2; 10; 3; 9]; [16; 4; 17; 3]; [4; 16; 5; 15]; [10; 6; 11; 5]; [12; 8; 13; 7]; [8; 12; 9; 17]; [14; 0; 15; 11]],12.04609204,9,31,9,11,9,True,18,11,3.272727272727273,1.1354541815269816,0.32727272727272727
69,9^2_41,[[0; 11; 1; 12]; [6; 2; 7; 1]; [2; 14; 3; 13]; [14; 4; 15; 3]; [4; 10; 5; 17]; [10; 6; 11; 5]; [12; 7; 13; 8]; [8; 15; 9; 16]; [16; 9; 17; 0]],12.95742943,9,31,9,11,1,True,18,11,3.272727272727273,0.9620913858416693,0.32727272727272727
70,9^2_42,[[0; 7; 1; 8]; [16; 2; 17; 1]; [2; 10; 3; 9]; [12; 3; 13; 4]; [4; 13; 5; 14]; [10; 6; 11; 5]; [6; 16; 7; 15]; [8; 17; 9; 12]; [14; 11; 15; 0]],13.94841773,9,31,9,11,-1,True,18,11,3.272727272727273,0.7496555682941202,0.32727272727272727
71,9^2_43,[[0; 8; 1; 7]; [8; 2; 9; 1]; [2; 10; 3; 9]; [10; 4; 11; 3]; [4; 12; 5; 11]; [5; 17; 6; 16]; [15; 7; 16; 6]; [12; 14; 13; 17]; [14; 0; 15; 13]],0.0,9,31,9,11,9,False,18,11,3.272727272727273,1.8630819574471997,0.32727272727272727
72,9^2_44,[[0; 7; 1; 8]; [8; 1; 9; 2]; [2; 9; 3; 10]; [10; 3; 11; 4]; [15; 5; 16; 4]; [5; 15; 6; 14]; [6; 11; 7; 12]; [12; 17; 13; 14]; [16; 13; 17; 0]],6.138138789,9,31,9,11,-5,False,18,11,3.272727272727273,1.3545149477955762,0.32727272727272727
73,9^2_45,[[15; 0; 16; 1]; [10; 2; 11; 1]; [2; 10; 3; 9]; [8; 4; 9; 3]; [4; 12; 5; 11]; [12; 6; 13; 5]; [6; 17; 7; 14]; [16; 7; 17; 8]; [13; 14; 0; 15]],5.333489567,9,31,9,11,1,False,18,11,3.272727272727273,1.28564869306645,0.32727272727272727
74,9^2_46,[[15; 1; 16; 0]; [8; 1; 9; 2]; [2; 11; 3; 12]; [10; 3; 11; 4]; [4; 9; 5; 10]; [14; 5; 15; 6]; [6; 17; 7; 14]; [12; 7; 13; 8]; [13; 17; 0; 16]],6.138138789,9,31,9,11,-5,False,18,11,3.272727272727273,1.2128785512842122,0.32727272727272727
75,9^2_47,[[15; 0; 16; 1]; [1; 8; 2; 9]; [9; 2; 10; 3]; [14; 4; 15; 3]; [4; 14; 5; 17]; [5; 12; 6; 13]; [11; 6; 12; 7]; [7; 10; 8; 11]; [13; 16; 0; 17]],3.663862377,9,31,9,11,-5,False,18,11,3.272727272727273,1.4826824027545538,0.32727272727272727
76,9^2_48,[[0; 16; 1; 15]; [10; 2; 11; 1]; [2; 8; 3; 7]; [6; 4; 7; 3]; [4; 12; 5; 11]; [12; 6; 13; 5]; [17; 9; 14; 8]; [9; 17; 10; 16]; [14; 0; 15; 13]],7.706911803,9,31,9,11,9,False,18,11,3.272727272727273,1.1354541815269814,0.32727272727272727
77,9^2_49,[[7; 1; 8; 0]; [1; 9; 2; 8]; [9; 3; 10; 2]; [3; 13; 4; 12]; [13; 5; 14; 4]; [5; 15; 6; 14]; [15; 7; 16; 6]; [10; 12; 11; 17]; [16; 0; 17; 11]],0.0,9,31,9,11,9,False,18,11,3.272727272727273,1.7627926754241197,0.32727272727272727
