Name,PD Notation,Crossing Number,Determinant,Volume
9_49,[[1;15;2;14];[4;12;5;11];[6;16;7;15];[7;3;8;2];[10;18;11;17];[12;4;13;3];[13;9;14;8];[16;6;17;5];[18;10;1;9]],9,25,9.427073628
10_5,[[2;13;3;14];[4;17;5;18];[6;16;7;15];[8;6;9;5];[10;19;11;20];[12;1;13;2];[14;3;15;4];[16;8;17;7];[18;9;19;10];[20;11;1;12]],10,33,7.373935134
10_6,[[2;11;3;12];[4;16;5;15];[6;18;7;17];[8;20;9;19];[10;14;11;13];[12;1;13;2];[14;10;15;9];[16;6;17;5];[18;8;19;7];[20;4;1;3]],10,37,8.390937607
10_7,[[1;12;2;13];[3;15;4;14];[5;19;6;18];[7;17;8;16];[9;1;10;20];[11;2;12;3];[13;11;14;10];[15;9;16;8];[17;7;18;6];[19;5;20;4]],10,43,9.115906396
10_9,[[1;13;2;12];[3;16;4;17];[5;14;6;15];[7;3;8;2];[9;19;10;18];[11;1;12;20];[13;4;14;5];[15;6;16;7];[17;9;18;8];[19;11;20;10]],10,39,8.294099675
10_10,[[1;11;2;10];[3;18;4;19];[5;16;6;17];[7;14;8;15];[9;13;10;12];[11;3;12;2];[13;20;14;1];[15;6;16;7];[17;4;18;5];[19;8;20;9]],10,45,9.180573644
10_11,[[2;15;3;16];[4;13;5;14];[6;2;7;1];[8;18;9;17];[10;20;11;19];[12;5;13;6];[14;3;15;4];[16;12;17;11];[18;10;19;9];[20;8;1;7]],10,43,9.370442441
10_12,[[2;11;3;12];[4;18;5;17];[6;13;7;14];[8;19;9;20];[10;1;11;2];[12;7;13;8];[14;5;15;6];[16;4;17;3];[18;16;19;15];[20;9;1;10]],10,47,9.817495191
10_13,[[2;17;3;18];[4;8;5;7];[6;13;7;14];[8;2;9;1];[10;20;11;19];[12;16;13;15];[14;5;15;6];[16;3;17;4];[18;12;19;11];[20;10;1;9]],10,53,10.57848019
10_14,[[1;14;2;15];[3;17;4;16];[5;11;6;10];[7;19;8;18];[9;1;10;20];[11;5;12;4];[13;2;14;3];[15;13;16;12];[17;7;18;6];[19;9;20;8]],10,57,10.93768941
10_15,[[2;6;3;5];[4;16;5;15];[6;2;7;1];[8;17;9;18];[10;19;11;20];[12;7;13;8];[14;4;15;3];[16;14;17;13];[18;9;19;10];[20;11;1;12]],10,43,8.973449326
10_16,[[1;10;2;11];[3;15;4;14];[5;17;6;16];[7;19;8;18];[9;2;10;3];[11;20;12;1];[13;9;14;8];[15;7;16;6];[17;5;18;4];[19;12;20;13]],10,47,9.546642305
10_17,[[6;2;7;1];[12;4;13;3];[20;15;1;16];[16;7;17;8];[18;9;19;10];[8;17;9;18];[10;19;11;20];[14;6;15;5];[2;12;3;11];[4;14;5;13]],10,41,8.536755599
10_18,[[2;14;3;13];[4;10;5;9];[6;17;7;18];[8;15;9;16];[10;20;11;19];[12;2;13;1];[14;12;15;11];[16;7;17;8];[18;5;19;6];[20;4;1;3]],10,55,10.63984427
10_19,[[1;13;2;12];[3;15;4;14];[5;10;6;11];[7;16;8;17];[9;18;10;19];[11;1;12;20];[13;3;14;2];[15;8;16;9];[17;6;18;7];[19;5;20;4]],10,51,9.844771303
10_20,[[2;8;3;7];[4;15;5;16];[6;4;7;3];[8;2;9;1];[10;18;11;17];[12;20;13;19];[14;5;15;6];[16;14;17;13];[18;12;19;11];[20;10;1;9]],10,35,8.317378718
10_21,[[1;15;2;14];[3;13;4;12];[5;17;6;16];[7;11;8;10];[9;18;10;19];[11;1;12;20];[13;3;14;2];[15;5;16;4];[17;7;18;6];[19;8;20;9]],10,45,9.675141144
10_22,[[2;11;3;12];[4;18;5;17];[6;16;7;15];[8;14;9;13];[10;1;11;2];[12;19;13;20];[14;6;15;5];[16;8;17;7];[18;4;19;3];[20;9;1;10]],10,49,9.981866518
10_23,[[2;13;3;14];[4;11;5;12];[6;18;7;17];[8;19;9;20];[10;1;11;2];[12;3;13;4];[14;7;15;8];[16;6;17;5];[18;16;19;15];[20;9;1;10]],10,59,11.39322463
10_24,[[2;14;3;13];[4;10;5;9];[6;17;7;18];[8;6;9;5];[10;4;11;3];[12;20;13;19];[14;2;15;1];[16;7;17;8];[18;12;19;11];[20;16;1;15]],10,55,10.97745474
10_25,[[1;11;2;10];[3;15;4;14];[5;13;6;12];[7;18;8;19];[9;1;10;20];[11;5;12;4];[13;7;14;6];[15;3;16;2];[17;8;18;9];[19;17;20;16]],10,65,11.8757796
10_26,[[1;12;2;13];[3;14;4;15];[5;17;6;16];[7;19;8;18];[9;1;10;20];[11;4;12;5];[13;2;14;3];[15;11;16;10];[17;9;18;8];[19;7;20;6]],10,61,11.35201756
10_27,[[1;11;2;10];[3;18;4;19];[5;16;6;17];[7;14;8;15];[9;13;10;12];[11;3;12;2];[13;20;14;1];[15;4;16;5];[17;6;18;7];[19;8;20;9]],10,71,12.38413197
10_28,[[1;9;2;8];[3;16;4;17];[5;14;6;15];[7;11;8;10];[9;3;10;2];[11;20;12;1];[13;18;14;19];[15;4;16;5];[17;6;18;7];[19;12;20;13]],10,53,10.26467495
10_29,[[2;15;3;16];[4;2;5;1];[6;11;7;12];[8;18;9;17];[10;20;11;19];[12;5;13;6];[14;3;15;4];[16;14;17;13];[18;10;19;9];[20;8;1;7]],10,63,11.60290525
10_30,[[1;14;2;15];[3;17;4;16];[5;11;6;10];[7;19;8;18];[9;1;10;20];[11;5;12;4];[13;2;14;3];[15;13;16;12];[17;9;18;8];[19;7;20;6]],10,67,11.82875757
10_31,[[2;6;3;5];[4;16;5;15];[6;2;7;1];[8;17;9;18];[10;19;11;20];[12;7;13;8];[14;4;15;3];[16;14;17;13];[18;11;19;12];[20;9;1;10]],10,57,11.04426403
10_32,[[2;14;3;13];[4;10;5;9];[6;15;7;16];[8;17;9;18];[10;20;11;19];[12;2;13;1];[14;12;15;11];[16;7;17;8];[18;5;19;6];[20;4;1;3]],10,69,12.09093687
