Name,PD Notation,Volume,Crossing Number,Determinant
9^2_52,[[13; 0; 14; 1]; [1; 14; 2; 15]; [15; 2; 16; 3]; [3; 8; 4; 9]; [9; 4; 10; 5]; [12; 6; 13; 5]; [6; 12; 7; 17]; [7; 10; 8; 11]; [11; 16; 0; 17]],8.2090212208,9,31
9^2_53,[[0; 11; 1; 12]; [10; 1; 11; 2]; [2; 17; 3; 10]; [3; 7; 4; 6]; [13; 4; 14; 5]; [5; 12; 6; 13]; [16; 7; 17; 8]; [8; 15; 9; 16]; [14; 9; 15; 0]],4.112058765 E-14,9,31
9^2_54,[[0; 11; 1; 12]; [10; 1; 11; 2]; [2; 17; 3; 10]; [6; 3; 7; 4]; [4; 14; 5; 13]; [12; 6; 13; 5]; [7; 17; 8; 16]; [15; 9; 16; 8]; [9; 15; 0; 14]],7.51768989647,9,31
9^2_55,[[0; 5; 1; 6]; [6; 1; 7; 2]; [2; 7; 3; 8]; [10; 3; 11; 4]; [4; 11; 5; 12]; [15; 8; 16; 9]; [9; 16; 10; 17]; [12; 14; 13; 17]; [14; 0; 15; 13]],8.9973519436,9,31
9^2_56,[[9; 1; 10; 0]; [1; 9; 2; 8]; [2; 16; 3; 15]; [14; 4; 15; 3]; [7; 5; 8; 4]; [5; 11; 6; 10]; [11; 7; 12; 6]; [17; 12; 14; 13]; [13; 16; 0; 17]],8.9973519436,9,31
9^2_57,[[0; 5; 1; 6]; [6; 1; 7; 2]; [2; 7; 3; 8]; [3; 11; 4; 10]; [11; 5; 12; 4]; [8; 16; 9; 15]; [16; 10; 17; 9]; [12; 14; 13; 17]; [14; 0; 15; 13]],8.3555021464,9,31
9^2_58,[[0; 9; 1; 10]; [8; 1; 9; 2]; [15; 2; 16; 3]; [3; 14; 4; 15]; [7; 5; 8; 4]; [5; 11; 6; 10]; [11; 7; 12; 6]; [17; 12; 14; 13]; [13; 16; 0; 17]],9.9665118837,9,31
9^2_59,[[0; 5; 1; 6]; [6; 1; 7; 2]; [2; 7; 3; 8]; [10; 3; 11; 4]; [4; 11; 5; 12]; [15; 8; 16; 9]; [9; 16; 10; 17]; [17; 12; 14; 13]; [13; 14; 0; 15]],5.33348956690,9,31
9^2_60,[[9; 1; 10; 0]; [1; 9; 2; 8]; [2; 16; 3; 15]; [14; 4; 15; 3]; [7; 5; 8; 4]; [5; 11; 6; 10]; [11; 7; 12; 6]; [12; 14; 13; 17]; [16; 0; 17; 13]],5.33348956690,9,31
9^2_61,[[0; 11; 1; 12]; [6; 2; 7; 1]; [13; 2; 14; 3]; [3; 14; 4; 15]; [17; 4; 10; 5]; [5; 10; 6; 11]; [12; 7; 13; 8]; [8; 15; 9; 16]; [16; 9; 17; 0]],2.2935403428 E-14,9,31
10^2_1,[[0; 16; 1; 15]; [4; 2; 5; 1]; [2; 8; 3; 7]; [8; 4; 9; 3]; [5; 12; 6; 13]; [11; 6; 12; 7]; [18; 9; 19; 10]; [10; 17; 11; 18]; [14; 0; 15; 13]; [16; 14; 17; 19]],10.6845445823,10,31
10^2_2,[[0; 8; 1; 7]; [8; 2; 9; 1]; [15; 2; 16; 3]; [3; 14; 4; 15]; [9; 4; 10; 5]; [5; 10; 6; 11]; [11; 6; 12; 7]; [17; 13; 18; 12]; [13; 19; 0; 18]; [19; 17; 14; 16]],8.1407192213,10,31
10^2_3,[[0; 16; 1; 15]; [1; 4; 2; 5]; [7; 2; 8; 3]; [3; 8; 4; 9]; [5; 12; 6; 13]; [11; 6; 12; 7]; [18; 9; 19; 10]; [10; 17; 11; 18]; [14; 0; 15; 13]; [16; 14; 17; 19]],10.6845445823,10,31
